entity_id,entity_name,segment,owner
PRO001,Product portfolio 1,Strategic,Customer
PRO002,Product portfolio 2,Watch,Operations
PRO003,Product portfolio 3,Strategic,Product
PRO004,Product portfolio 4,Growth,Analytics
PRO005,Product portfolio 5,Strategic,Revenue
PRO006,Product portfolio 6,Strategic,Operations
PRO007,Product portfolio 7,Core,Revenue
PRO008,Product portfolio 8,Watch,Analytics
PRO009,Product portfolio 9,Growth,Revenue
PRO010,Product portfolio 10,Watch,Analytics
PRO011,Product portfolio 11,Strategic,Product
PRO012,Product portfolio 12,Watch,Customer
PRO013,Product portfolio 13,Strategic,Customer
PRO014,Product portfolio 14,Growth,Operations
PRO015,Product portfolio 15,Core,Product
PRO016,Product portfolio 16,Strategic,Customer
PRO017,Product portfolio 17,Growth,Operations
PRO018,Product portfolio 18,Growth,Product
PRO019,Product portfolio 19,Growth,Analytics
PRO020,Product portfolio 20,Core,Analytics
PRO021,Product portfolio 21,Watch,Operations
PRO022,Product portfolio 22,Growth,Revenue
PRO023,Product portfolio 23,Growth,Operations
PRO024,Product portfolio 24,Core,Product
PRO025,Product portfolio 25,Core,Analytics
PRO026,Product portfolio 26,Watch,Customer
PRO027,Product portfolio 27,Core,Analytics
PRO028,Product portfolio 28,Growth,Product
PRO029,Product portfolio 29,Growth,Product
PRO030,Product portfolio 30,Strategic,Analytics
PRO031,Product portfolio 31,Watch,Analytics
PRO032,Product portfolio 32,Growth,Operations
PRO033,Product portfolio 33,Watch,Customer
PRO034,Product portfolio 34,Core,Operations
PRO035,Product portfolio 35,Core,Revenue
PRO036,Product portfolio 36,Core,Revenue
