product_id,product,line_of_business,state,channel,exposure_count,earned_premium,loss_ratio,expense_ratio,combined_ratio,retention_rate,new_business_growth,claims_satisfaction,kpi_quality_score,source_systems,data_steward
PRD001,Personal Auto,Personal,NJ,Direct,18741,23387806,63.3,22.0,86.1,84.1,4.2,91.5,95.2,"policy_admin, claims, billing, quote_platform",Commercial Lines Ops
PRD002,Personal Auto,Personal,NJ,Exclusive Agent,12726,20491960,72.4,22.0,95.2,81.7,7.6,88.2,88.9,"policy_admin, claims, billing, quote_platform",Product Analytics
PRD003,Personal Auto,Personal,PA,Direct,22647,39708075,67.5,22.0,89.2,89.5,7.3,92.9,90.1,"policy_admin, claims, billing, quote_platform",Product Analytics
PRD004,Personal Auto,Personal,PA,Exclusive Agent,11979,9655653,63.8,22.0,86.1,78.3,10.1,89.6,91.5,"policy_admin, claims, billing, quote_platform",Product Analytics
PRD005,Personal Auto,Personal,NY,Direct,21813,27252174,69.5,22.0,92.8,82.9,6.4,86.5,85.6,"policy_admin, claims, billing, quote_platform",Claims Data
PRD006,Personal Auto,Personal,NY,Exclusive Agent,14128,14230176,81.8,22.0,104.3,89.0,7.7,85.8,84.5,"policy_admin, claims, billing, quote_platform",BI Governance
PRD007,Personal Auto,Personal,MD,Direct,20294,19259499,69.8,22.0,93.4,86.2,8.2,92.3,85.6,"policy_admin, claims, billing, quote_platform",BI Governance
PRD008,Personal Auto,Personal,MD,Exclusive Agent,16656,30044075,72.8,22.0,93.6,79.3,16.3,93.2,77.1,"policy_admin, claims, billing, quote_platform",Product Analytics
PRD009,Personal Auto,Personal,DE,Direct,15842,24106375,64.1,22.0,87.9,90.6,9.2,92.6,78.9,"policy_admin, claims, billing, quote_platform",BI Governance
PRD010,Personal Auto,Personal,DE,Exclusive Agent,14235,8480061,57.4,22.0,78.3,82.2,4.2,89.6,84.2,"policy_admin, claims, billing, quote_platform",Product Analytics
PRD011,Personal Auto,Personal,CT,Direct,14174,11647096,66.5,22.0,86.5,80.3,6.4,91.9,76.0,"policy_admin, claims, billing, quote_platform",Claims Data
PRD012,Personal Auto,Personal,CT,Exclusive Agent,11899,22639972,72.1,22.0,92.4,86.0,8.1,87.2,82.1,"policy_admin, claims, billing, quote_platform",Claims Data
PRD013,Homeowners,Personal,NJ,Direct,15559,30215626,81.6,24.0,104.4,84.9,4.3,89.2,84.6,"policy_admin, claims, catastrophe_vendor, billing",Claims Data
PRD014,Homeowners,Personal,NJ,Exclusive Agent,13064,25891106,74.3,24.0,95.3,83.8,9.7,90.3,84.1,"policy_admin, claims, catastrophe_vendor, billing",Claims Data
PRD015,Homeowners,Personal,PA,Direct,14012,20279645,87.5,24.0,112.2,85.0,7.9,74.6,84.0,"policy_admin, claims, catastrophe_vendor, billing",Claims Data
PRD016,Homeowners,Personal,PA,Exclusive Agent,9829,6568904,78.8,24.0,101.8,87.2,3.6,87.5,82.4,"policy_admin, claims, catastrophe_vendor, billing",Claims Data
PRD017,Homeowners,Personal,NY,Direct,11535,19219480,89.7,24.0,113.8,84.0,6.7,79.4,84.2,"policy_admin, claims, catastrophe_vendor, billing",Commercial Lines Ops
PRD018,Homeowners,Personal,NY,Exclusive Agent,12273,16120837,86.1,24.0,107.4,82.7,9.2,82.7,78.1,"policy_admin, claims, catastrophe_vendor, billing",Commercial Lines Ops
PRD019,Homeowners,Personal,MD,Direct,13140,22040582,86.9,24.0,110.1,87.2,10.6,82.0,83.1,"policy_admin, claims, catastrophe_vendor, billing",Claims Data
PRD020,Homeowners,Personal,MD,Exclusive Agent,8351,5779443,88.2,24.0,111.9,84.9,-1.9,79.4,76.7,"policy_admin, claims, catastrophe_vendor, billing",Commercial Lines Ops
PRD021,Homeowners,Personal,DE,Direct,8666,12625436,78.4,24.0,102.7,85.6,18.1,85.9,78.9,"policy_admin, claims, catastrophe_vendor, billing",Commercial Lines Ops
PRD022,Homeowners,Personal,DE,Exclusive Agent,6541,9268276,82.5,24.0,105.0,91.3,7.7,80.9,80.4,"policy_admin, claims, catastrophe_vendor, billing",Claims Data
PRD023,Homeowners,Personal,CT,Direct,6244,3509861,82.3,24.0,107.2,83.5,1.5,82.6,76.4,"policy_admin, claims, catastrophe_vendor, billing",Product Analytics
PRD024,Homeowners,Personal,CT,Exclusive Agent,6359,10555666,87.6,24.0,109.6,87.4,18.0,84.7,75.5,"policy_admin, claims, catastrophe_vendor, billing",BI Governance
PRD025,Renters,Personal,NJ,Direct,5848,9730829,58.8,28.0,86.7,96.0,4.3,92.7,89.8,"policy_admin, billing, customer_portal",Commercial Lines Ops
PRD026,Renters,Personal,NJ,Exclusive Agent,3640,3063992,62.0,28.0,90.1,90.7,11.6,91.3,89.3,"policy_admin, billing, customer_portal",BI Governance
PRD027,Renters,Personal,PA,Direct,5291,3010281,55.4,28.0,83.6,94.1,2.9,89.3,82.9,"policy_admin, billing, customer_portal",BI Governance
