product_id,product,line_of_business,state,channel,earned_premium,combined_ratio,retention_rate,new_business_growth,claims_satisfaction,kpi_quality_score,open_high_quality_checks,priority_score,recommended_action
PRD072,Commercial Auto,Commercial,CT,Independent Agent,13433833,118.3,73.9,14.0,76.5,71.1,4,145.4,Review agency growth with source mapping
PRD066,Commercial Auto,Commercial,NY,Independent Agent,15464617,119.7,72.4,1.5,72,82.5,0,117.4,Validate source rules before management action
PRD092,Commercial Umbrella,Commercial,MD,Independent Agent,2807751,106.0,81.4,15.6,83.9,67.6,4,109.7,Review agency growth with source mapping
PRD090,Commercial Umbrella,Commercial,NY,Independent Agent,10149238,109.3,76.7,13.1,79.5,74.2,3,107.9,Review agency growth with source mapping
PRD068,Commercial Auto,Commercial,MD,Independent Agent,21185491,106.8,76.3,7.6,84.4,73.7,3,107.0,Open data governance remediation
PRD070,Commercial Auto,Commercial,DE,Independent Agent,11089381,103.7,84.3,18.0,84.4,73.3,3,92.8,Review agency growth with source mapping
PRD067,Commercial Auto,Commercial,MD,Direct,21827235,109.1,76.3,9.3,79.2,76.5,1,88.0,Open data governance remediation
PRD064,Commercial Auto,Commercial,PA,Independent Agent,28432235,107.6,77.8,20.1,81.5,83.7,0,87.0,Review agency growth with source mapping
PRD024,Homeowners,Personal,CT,Exclusive Agent,10555666,109.6,87.4,18.0,84.7,75.5,1,85.1,Open data governance remediation
PRD080,Businessowners Policy,Commercial,MD,Independent Agent,8978023,92.1,83.3,14.2,93.3,66.3,3,83.5,Review agency growth with source mapping
PRD020,Homeowners,Personal,MD,Exclusive Agent,5779443,111.9,84.9,-1.9,79.4,76.7,2,83.3,Open data governance remediation
PRD096,Commercial Umbrella,Commercial,CT,Independent Agent,1866465,103.5,80.7,13.7,87.0,76.1,1,82.8,Review agency growth with source mapping
PRD082,Businessowners Policy,Commercial,DE,Independent Agent,4205490,92.7,80.3,6.0,94.3,68.2,4,79.1,Open data governance remediation
PRD062,Commercial Auto,Commercial,NJ,Independent Agent,21266592,104.3,81.1,3.9,83.7,78.7,0,76.4,Open data governance remediation
